code,ident,name,type,length_ft,width_ft,surface,le_elevation_ft
CO,SKMU,Fabio Alberto Leon Bentley Airport,medium_airport,5889,66,ASPH,526
CO,SKNV,Benito Salas Airport,medium_airport,5880,131,ASPH,1447
CO,SKPB,Puerto Bolívar Airport,small_airport,5540,148,ASPH,90
CO,SKPC,German Olano Airport,medium_airport,5907,69,ASPH,180
CO,SKPD,Obando Cesar Gaviria Trujillo Airport,medium_airport,5910,85,ASPH,460
CO,SKPE,Matecaña International Airport,medium_airport,6627,148,ASPH,4342
CO,SKPN,Puerto Nare Airport,small_airport,3310,35,ASPH,450
CO,SKPP,Guillermo León Valencia Airport,medium_airport,6266,98,ASPH,5633
CO,SKPQ,German Olano Air Base,medium_airport,9987,164,ASPH,566
CO,SKPS,Antonio Nariño Airport,medium_airport,7585,130,ASPH,5840
CO,SKRG,Jose Maria Córdova International Airport,medium_airport,11286,148,ASPH,6967
CO,SKSA,Los Colonizadores Airport,small_airport,3937,98,ASPH,674
CO,SKSJ,Jorge E. Gonzalez Torres Airport,medium_airport,4897,66,ASPH,605
CO,SKSM,Simón Bolívar International Airport,medium_airport,5577,131,ASPH,8
CO,SKTB,Tibú Airport,small_airport,4921,66,ASPH,194
CO,SKTM,Gustavo Vargas Airport,medium_airport,6561,98,ASPH,1050
CO,SKTQ,Captain Ernesto Esguerra Cubides Air Base,medium_airport,6220,79,CON,585
CO,SKUA,Marandúa Air Base,medium_airport,6780,145,ASPH,279
CO,SKUC,Santiago Perez Airport,medium_airport,6890,98,ASPH,420
CO,SKUI,El Caraño Airport,medium_airport,4593,98,ASPH,175
CO,SKVL,Velásquez Airport,small_airport,5520,50,ASPH,482
CO,SKVP,Alfonso López Pumarejo Airport,medium_airport,6890,115,ASPH,449
CO,SKVV,Vanguardia Airport,medium_airport,5616,98,ASPH,1394
CO,SKYP,El Yopal Airport,medium_airport,8448,98,ASPH,1006
EC,SE60,La Puntilla Airport,small_airport,2953,39,ASPH,189
EC,SEAM,Chachoán Regional Airport,medium_airport,6316,82,ASPH,8390
